"P0" "P1" "P2" "P3" "P4" "P5" "P6" "P7" "P8" "P9" "P10" "P11" "P12" "P13" "P14" "run_id"
2200 2876 3395 3694 3233 3740 4265 4641 4767 3892 3525 3173 2507 1951 3631 0
2261 2887 3466 3698 3200 3718 4170 4681 4796 3908 3561 3202 2570 1949 3611 1
2250 2901 3446 3711 3239 3791 4194 4664 4758 3970 3601 3297 2559 1964 3542 2
2262 2953 3481 3660 3217 3660 4221 4580 4784 3899 3506 3198 2526 1959 3498 3
2186 2871 3464 3706 3138 3671 4154 4581 4758 3917 3516 3276 2566 1922 3492 4
2293 2862 3414 3653 3236 3734 4215 4696 4837 3917 3569 3230 2579 1868 3425 5
2244 2876 3454 3635 3200 3733 4214 4602 4823 3852 3583 3205 2534 1940 3514 6
2245 2812 3501 3674 3232 3721 4192 4683 4694 3864 3575 3199 2533 1968 3547 7
2213 2921 3465 3597 3243 3661 4188 4625 4713 3835 3545 3182 2518 1896 3534 8
2229 2815 3454 3682 3224 3668 4221 4667 4757 3871 3536 3274 2518 1898 3521 9
