"P0" "P1" "P2" "P3" "P4" "P5" "P6" "P7" "P8" "P9" "P10" "P11" "P12" "P13" "P14" "run_id"
2573 3233 3990 4405 3560 4201 4753 5270 5396 4416 4037 3673 2960 2213 4133 0
2630 3304 3980 4406 3641 4180 4740 5318 5487 4482 4076 3698 2910 2258 4205 1
2573 3301 3995 4386 3670 4232 4772 5235 5498 4456 4040 3704 2971 2258 4245 2
2531 3297 3919 4414 3677 4212 4709 5295 5419 4394 4105 3676 2975 2250 4274 3
2545 3331 4001 4398 3610 4126 4824 5220 5373 4455 4028 3702 2859 2197 4136 4
2520 3280 3982 4397 3653 4172 4707 5246 5424 4455 4017 3658 2875 2224 4174 5
2530 3283 3957 4389 3664 4244 4770 5288 5435 4430 4081 3774 2925 2247 4253 6
2561 3315 3952 4410 3594 4163 4807 5302 5456 4462 4082 3700 2925 2324 4184 7
2516 3332 3985 4381 3682 4242 4797 5317 5472 4435 4059 3752 2891 2230 4263 8
2576 3361 3942 4408 3625 4246 4767 5295 5404 4395 4160 3664 2922 2279 4142 9
